epoch_step,epoch,total_epochs,box_loss,cls_loss,dfl_loss,precision,recall,map50,map50_95
1/200,1,200,1.607060,2.014753,1.280351,0.674700,0.633480,0.634030,0.363330
2/200,2,200,1.639512,1.576886,1.309470,0.625570,0.613950,0.577360,0.312560
3/200,3,200,1.747435,1.596785,1.383032,0.515720,0.494940,0.504980,0.273270
4/200,4,200,1.730512,1.545790,1.397171,0.694180,0.629320,0.696140,0.390720
5/200,5,200,1.656598,1.422188,1.364456,0.675930,0.671760,0.697540,0.394130
6/200,6,200,1.588137,1.316817,1.326102,0.766260,0.666060,0.742120,0.439420
7/200,7,200,1.542196,1.266450,1.303650,0.752610,0.698420,0.758200,0.448810
8/200,8,200,1.496008,1.199080,1.273498,0.775720,0.703770,0.779150,0.470770
9/200,9,200,1.469417,1.170424,1.259881,0.810790,0.715740,0.792880,0.485940
10/200,10,200,1.451083,1.143206,1.247114,0.807900,0.734580,0.805020,0.495760
11/200,11,200,1.407242,1.096584,1.223971,0.785130,0.731290,0.767070,0.473810
12/200,12,200,1.392402,1.076444,1.217239,0.817410,0.737160,0.806180,0.503780
13/200,13,200,1.387588,1.065244,1.214476,0.813480,0.744250,0.813670,0.515840
14/200,14,200,1.374274,1.052418,1.203077,0.852660,0.754220,0.822340,0.518170
15/200,15,200,1.354668,1.032900,1.200092,0.843430,0.743660,0.820800,0.519090
16/200,16,200,1.351674,1.029405,1.194135,0.839810,0.779620,0.836360,0.529460
17/200,17,200,1.334170,1.006443,1.188791,0.856930,0.761240,0.836800,0.538760
18/200,18,200,1.327958,0.988014,1.181706,0.855920,0.753850,0.822080,0.525220
19/200,19,200,1.332723,0.996994,1.183362,0.879460,0.764810,0.848870,0.549120
20/200,20,200,1.325769,0.987054,1.182987,0.869440,0.780140,0.847300,0.548940
21/200,21,200,1.312110,0.967028,1.170153,0.896860,0.774910,0.854730,0.557810
22/200,22,200,1.302837,0.959322,1.169179,0.879870,0.770010,0.850690,0.556860
23/200,23,200,1.287515,0.949737,1.157293,0.859140,0.793790,0.853470,0.558220
24/200,24,200,1.284937,0.947330,1.154689,0.875620,0.791030,0.846570,0.556660
25/200,25,200,1.279300,0.929424,1.153197,0.895030,0.782920,0.863090,0.568800
26/200,26,200,1.277398,0.918360,1.146118,0.896530,0.797120,0.862450,0.567790
27/200,27,200,1.268653,0.915512,1.145706,0.900960,0.794140,0.862560,0.570420
28/200,28,200,1.253303,0.891715,1.138281,0.900680,0.792800,0.869870,0.578520
29/200,29,200,1.258063,0.916521,1.144283,0.904300,0.799320,0.871850,0.579450
30/200,30,200,1.258250,0.906597,1.138744,0.899320,0.803180,0.875580,0.581500
