epoch_step,epoch,total_epochs,box_loss,cls_loss,dfl_loss,precision,recall,map50,map50_95
201/500,201,500,1.003934,0.626137,1.020243,0.929410,0.842200,0.908620,0.626130
202/500,202,500,1.025851,0.651831,1.026011,0.927040,0.836820,0.909280,0.628580
203/500,203,500,1.033126,0.661217,1.027439,0.928720,0.849630,0.910220,0.625180
204/500,204,500,1.027155,0.662170,1.024726,0.937480,0.843060,0.912030,0.627020
205/500,205,500,1.037239,0.665278,1.032473,0.934330,0.840690,0.909980,0.624890
206/500,206,500,1.034219,0.659781,1.029358,0.922490,0.851530,0.910690,0.631980
207/500,207,500,1.043398,0.673827,1.037651,0.932110,0.845840,0.911300,0.620100
208/500,208,500,1.041307,0.659928,1.028818,0.926600,0.849580,0.912160,0.627410
209/500,209,500,1.049252,0.659482,1.032910,0.920070,0.839370,0.903430,0.629020
210/500,210,500,1.042232,0.665961,1.031923,0.924620,0.853910,0.910200,0.630040
211/500,211,500,1.029231,0.655954,1.022475,0.926180,0.839560,0.905710,0.626100
212/500,212,500,1.031251,0.657054,1.028670,0.931610,0.847730,0.914070,0.632850
213/500,213,500,1.040028,0.660380,1.029684,0.937790,0.839370,0.910460,0.631200
214/500,214,500,1.038301,0.671421,1.026717,0.936710,0.844660,0.912010,0.628780
215/500,215,500,1.031454,0.655272,1.029238,0.931620,0.845720,0.912850,0.628500
216/500,216,500,1.036259,0.673939,1.030938,0.931620,0.854110,0.916940,0.634800
217/500,217,500,1.039190,0.661919,1.029716,0.929100,0.848030,0.909980,0.630420
218/500,218,500,1.032270,0.657577,1.027907,0.922800,0.844030,0.908390,0.630830
219/500,219,500,1.053812,0.672673,1.035823,0.932490,0.850110,0.914850,0.637610
220/500,220,500,1.043601,0.667579,1.036074,0.928260,0.847030,0.908670,0.625270
221/500,221,500,1.035335,0.656585,1.030991,0.914590,0.847140,0.908290,0.634930
222/500,222,500,1.039009,0.661080,1.030097,0.934920,0.847500,0.911100,0.636860
223/500,223,500,1.036723,0.663205,1.026250,0.936580,0.843830,0.914930,0.632130
224/500,224,500,1.037284,0.666616,1.026219,0.936230,0.853170,0.915720,0.634530
225/500,225,500,1.032922,0.655516,1.029713,0.933630,0.845900,0.912960,0.632970
226/500,226,500,1.038675,0.653972,1.024333,0.935040,0.857920,0.918940,0.640320
227/500,227,500,1.031893,0.654070,1.025733,0.940860,0.850600,0.918900,0.637900
228/500,228,500,1.023798,0.644497,1.022954,0.926310,0.853740,0.915690,0.637590
229/500,229,500,1.034269,0.664709,1.029600,0.937090,0.855690,0.918090,0.638880
230/500,230,500,1.032266,0.656582,1.024515,0.943650,0.848220,0.918380,0.640860
231/500,231,500,1.033943,0.655916,1.027854,0.928230,0.849940,0.913340,0.636360
232/500,232,500,1.024282,0.654796,1.023349,0.932460,0.849850,0.914640,0.637660
233/500,233,500,1.021046,0.655059,1.026367,0.932460,0.853470,0.918410,0.642140
234/500,234,500,1.034071,0.652475,1.031085,0.931050,0.854810,0.916480,0.642940
235/500,235,500,1.036229,0.657460,1.021306,0.931620,0.855490,0.919950,0.643930
236/500,236,500,1.019722,0.652524,1.022654,0.929360,0.855530,0.917460,0.645440
237/500,237,500,1.023806,0.647585,1.024321,0.931550,0.860160,0.920060,0.650510
